Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
24,24038,Laurentides--Labelle,96080,3725125000 ,3416045000 ,3260812000 ,,,,,,,,,,,,,,,,,,
24,24039,Laurier--Sainte-Marie,87080,3631994000 ,3350391000 ,3213922000 ,,,,,,,,,,,,,,,,,,
24,24040,Laval--Les Îles,83580,3610958000 ,3321906000 ,3215855000 ,,,,,,,,,,,,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,84990,2921742000 ,2698164000 ,2588532000 ,,,,,,,,,,,,,,,,,,
24,24042,Lévis--Lotbinière,89390,4122970000 ,3722104000 ,3634604000 ,,,,,,,,,,,,,,,,,,
24,24043,Longueuil--Saint-Hubert,87970,3844590000 ,3503803000 ,3382341000 ,,,,,,,,,,,,,,,,,,
24,24044,Louis-Hébert,86250,4805004000 ,4313708000 ,4221769000 ,,,,,,,,,,,,,,,,,,
24,24045,Louis-Saint-Laurent,93700,4348028000 ,3898690000 ,3822231000 ,,,,,,,,,,,,,,,,,,
24,24046,Manicouagan,74320,3126814000 ,2867280000 ,2745515000 ,,,,,,,,,,,,,,,,,,
24,24047,Mégantic--L'Érable,72690,2464308000 ,2272071000 ,2137373000 ,,,,,,,,,,,,,,,,,,
24,24048,Mirabel,89130,3791572000 ,3476380000 ,3384994000 ,,,,,,,,,,,,,,,,,,
24,24049,Montarville,77140,4306154000 ,3881021000 ,3819768000 ,,,,,,,,,,,,,,,,,,
24,24050,Montcalm,84010,3216489000 ,2960446000 ,2850747000 ,,,,,,,,,,,,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,80690,2840298000 ,2617813000 ,2480559000 ,,,,,,,,,,,,,,,,,,
24,24052,Mount Royal,79410,4817409000 ,4436647000 ,4290526000 ,,,,,,,,,,,,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,80710,6181149000 ,5714112000 ,5541667000 ,,,,,,,,,,,,,,,,,,
24,24054,Outremont,73980,3821324000 ,3534127000 ,3407255000 ,,,,,,,,,,,,,,,,,,
24,24055,Papineau,85320,2603106000 ,2418441000 ,2280854000 ,,,,,,,,,,,,,,,,,,
24,24056,Pierrefonds--Dollard,85570,3884502000 ,3554208000 ,3455040000 ,,,,,,,,,,,,,,,,,,
24,24057,Pontiac,87470,4070638000 ,3696196000 ,3590689000 ,,,,,,,,,,,,,,,,,,
24,24058,Portneuf--Jacques-Cartier,90240,4304584000 ,3877686000 ,3769592000 ,,,,,,,,,,,,,,,,,,
24,24059,Québec,79110,3278993000 ,2988013000 ,2864516000 ,,,,,,,,,,,,,,,,,,
24,24060,Repentigny,93700,4153283000 ,3766101000 ,3672200000 ,,,,,,,,,,,,,,,,,,
24,24061,Richmond--Arthabaska,87410,3167599000 ,2912482000 ,2765132000 ,,,,,,,,,,,,,,,,,,
24,24062,Rivière-des-Mille-Îles,83620,3825743000 ,3482370000 ,3395726000 ,,,,,,,,,,,,,,,,,,
24,24063,Rivière-du-Nord,89480,3408708000 ,3134693000 ,3012432000 ,,,,,,,,,,,,,,,,,,
24,24064,Rosemont--La Petite-Patrie,86050,3479433000 ,3185647000 ,3067495000 ,,,,,,,,,,,,,,,,,,
24,24065,Marc-Aurèle-Fortin,78800,3640337000 ,3310780000 ,3240807000 ,,,,,,,,,,,,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,81860,3046796000 ,2808951000 ,2674862000 ,,,,,,,,,,,,,,,,,,
24,24067,Saint-Jean,89010,3639688000 ,3339382000 ,3224132000 ,,,,,,,,,,,,,,,,,,
24,24068,Saint-Laurent,76040,3111077000 ,2866799000 ,2752105000 ,,,,,,,,,,,,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,85890,2562347000 ,2389849000 ,2254383000 ,,,,,,,,,,,,,,,,,,
24,24070,Saint-Maurice--Champlain,92780,3204341000 ,2921858000 ,2768293000 ,,,,,,,,,,,,,,,,,,
24,24071,Salaberry--Suroît,92760,3421327000 ,3151229000 ,2996609000 ,,,,,,,,,,,,,,,,,,
24,24072,Shefford,89880,3432311000 ,3143295000 ,3016368000 ,,,,,,,,,,,,,,,,,,
24,24073,Sherbrooke,89000,3260306000 ,2986847000 ,2844212000 ,,,,,,,,,,,,,,,,,,
24,24074,Vaudreuil--Soulanges,90980,4503201000 ,4112475000 ,4031882000 ,,,,,,,,,,,,,,,,,,
24,24075,Terrebonne,86220,3845907000 ,3515566000 ,3421653000 ,,,,,,,,,,,,,,,,,,
24,24076,Trois-Rivières,91210,3468371000 ,3138547000 ,2989979000 ,,,,,,,,,,,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,103690,5722322000 ,5289298000 ,5003252000 ,,,,,,,,,,,,,,,,,,
24,24078,Vimy,89840,3248918000 ,2988146000 ,2863233000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,6530360,275475575000 ,252002683000 ,242537110000 ,,,,,,,,,,,,,,,,,,
35,35001,Ajax,89530,4178499000 ,3838040000 ,3758232000 ,,,,,,,,,,,,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,65030,2538043000 ,2349079000 ,2219002000 ,,,,,,,,,,,,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,89310,4881027000 ,4463997000 ,4367287000 ,,,,,,,,,,,,,,,,,,
35,35004,Barrie--Innisfil,82210,3884334000 ,3577620000 ,3505392000 ,,,,,,,,,,,,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,75550,3557508000 ,3267329000 ,3174211000 ,,,,,,,,,,,,,,,,,,
35,35006,Bay of Quinte,88420,3659177000 ,3361442000 ,3212516000 ,,,,,,,,,,,,,,,,,,
35,35007,Beaches--East York,81060,4599808000 ,4215368000 ,4072083000 ,,,,,,,,,,,,,,,,,,
35,35008,Brampton Centre,80100,2885757000 ,2700513000 ,2606766000 ,,,,,,,,,,,,,,,,,,
35,35009,Brampton East,92890,3171235000 ,2954222000 ,2839773000 ,,,,,,,,,,,,,,,,,,
35,35010,Brampton North,91910,3511566000 ,3256859000 ,3162202000 ,,,,,,,,,,,,,,,,,,
35,35011,Brampton South,93310,3386153000 ,3158745000 ,3049836000 ,,,,,,,,,,,,,,,,,,
