Geo Code,Geo Name,Line Number
"48022","Foothills",305372
"48023","Fort McMurray--Cold Lake",306425
"48024","Grande Prairie--Mackenzie",307478
"48025","Lakeland",308531
"48026","Lethbridge",309584
"48027","Medicine Hat--Cardston--Warner",310637
"48028","Peace River--Westlock",311690
"48029","Red Deer--Mountain View",312743
"48030","Red Deer--Lacombe",313796
"48031","St. Albert--Edmonton",314849
"48032","Sherwood Park--Fort Saskatchewan",315902
"48033","Sturgeon River--Parkland",316955
"48034","Yellowhead",318008
"59","British Columbia",319061
"59001","Abbotsford",320114
"59002","Burnaby North--Seymour",321167
"59003","Burnaby South",322220
"59004","Cariboo--Prince George",323273
"59005","Central Okanagan--Similkameen--Nicola",324326
"59006","Chilliwack--Hope",325379
"59007","Cloverdale--Langley City",326432
"59008","Coquitlam--Port Coquitlam",327485
"59009","Courtenay--Alberni",328538
"59010","Cowichan--Malahat--Langford",329591
"59011","Delta",330644
"59012","Fleetwood--Port Kells",331697
"59013","Kamloops--Thompson--Cariboo",332750
"59014","Kelowna--Lake Country",333803
"59015","Kootenay--Columbia",334856
"59016","Langley--Aldergrove",335909
"59017","Mission--Matsqui--Fraser Canyon",336962
"59018","Nanaimo--Ladysmith",338015
"59019","New Westminster--Burnaby",339068
"59020","North Okanagan--Shuswap",340121
"59021","North Vancouver",341174
"59022","Pitt Meadows--Maple Ridge",342227
"59023","Port Moody--Coquitlam",343280
"59024","Prince George--Peace River--Northern Rockies",344333
"59025","Richmond Centre",345386
"59026","Esquimalt--Saanich--Sooke",346439
"59027","Saanich--Gulf Islands",347492
"59028","Skeena--Bulkley Valley",348545
"59029","South Okanagan--West Kootenay",349598
"59030","South Surrey--White Rock",350651
"59031","Steveston--Richmond East",351704
"59032","Surrey Centre",352757
"59033","Surrey--Newton",353810
"59034","Vancouver Centre",354863
"59035","Vancouver East",355916
"59036","Vancouver Granville",356969
"59037","North Island--Powell River",358022
"59038","Vancouver Kingsway",359075
"59039","Vancouver Quadra",360128
"59040","Vancouver South",361181
"59041","Victoria",362234
"59042","West Vancouver--Sunshine Coast--Sea to Sky Country",363287
"60","Yukon",364340
"60001","Yukon",365393
"61","Northwest Territories",366446
"61001","Northwest Territories",367499
"62","Nunavut",368552
"62001","Nunavut",369605
